mahalla_code,mahalla,region,region_code,district,district_code,hh_count,pop_count
1703203m1,Айланпа,Андижон,1703,Андижон т.,1703203,509,2316
1703203m2,Бахт,Андижон,1703,Андижон т.,1703203,691,4448
1703203m3,Баҳор,Андижон,1703,Андижон т.,1703203,649,3035
1703203m4,Бекобод,Андижон,1703,Андижон т.,1703203,690,3783
1703203m5,Беш бўйноқ,Андижон,1703,Андижон т.,1703203,830,4859
1703203m6,Беш паҳлавон,Андижон,1703,Андижон т.,1703203,451,2921
1703203m7,Бобоғози,Андижон,1703,Андижон т.,1703203,602,2889
1703203m8,Буюк турон,Андижон,1703,Андижон т.,1703203,695,3227
1703203m9,Гузар,Андижон,1703,Андижон т.,1703203,1005,4214
1703203m10,Гулистон,Андижон,1703,Андижон т.,1703203,566,2016
1703203m11,Гулобод,Андижон,1703,Андижон т.,1703203,810,4612
1703203m12,Гумбаз,Андижон,1703,Андижон т.,1703203,640,3698
1703203m13,Дамариқ,Андижон,1703,Андижон т.,1703203,508,2221
1703203m14,Дарё бўйи,Андижон,1703,Андижон т.,1703203,510,3152
1703203m15,Дархон,Андижон,1703,Андижон т.,1703203,826,4972
1703203m16,Дехқон,Андижон,1703,Андижон т.,1703203,527,2196
1703203m17,Дўлдур,Андижон,1703,Андижон т.,1703203,325,1636
1703203m18,Дўнг қишлоқ,Андижон,1703,Андижон т.,1703203,786,5956
1703203m19,Дўстлик,Андижон,1703,Андижон т.,1703203,789,4032
1703203m20,Жаннатмакон,Андижон,1703,Андижон т.,1703203,680,3896
1703203m21,Жевачи,Андижон,1703,Андижон т.,1703203,650,2128
1703203m22,Жохонобод,Андижон,1703,Андижон т.,1703203,1043,3903
1703203m23,Завроқ,Андижон,1703,Андижон т.,1703203,960,4158
1703203m24,Зангибобо,Андижон,1703,Андижон т.,1703203,728,3406
1703203m25,Интилиш,Андижон,1703,Андижон т.,1703203,512,2789
1703203m26,Исломобод,Андижон,1703,Андижон т.,1703203,937,4723
1703203m27,Истиқлол,Андижон,1703,Андижон т.,1703203,590,3536
1703203m28,Иттифоқ,Андижон,1703,Андижон т.,1703203,1343,6450
1703203m29,Катта гузар,Андижон,1703,Андижон т.,1703203,681,3007
1703203m30,Кенгаш,Андижон,1703,Андижон т.,1703203,650,3532
1703203m31,Қорақалпоқ,Андижон,1703,Андижон т.,1703203,885,3841
1703203m32,Қоратут,Андижон,1703,Андижон т.,1703203,801,4802
1703203m33,Қўқонлик,Андижон,1703,Андижон т.,1703203,520,2961
1703203m34,Қум кўча,Андижон,1703,Андижон т.,1703203,1012,4150
1703203m35,Қурама,Андижон,1703,Андижон т.,1703203,1429,5027
1703203m36,Қўшариқ,Андижон,1703,Андижон т.,1703203,742,1895
1703203m37,Қўшчинор,Андижон,1703,Андижон т.,1703203,536,2898
1703203m38,Маориф,Андижон,1703,Андижон т.,1703203,312,1781
1703203m39,Март,Андижон,1703,Андижон т.,1703203,1004,4053
1703203m40,Мингўрик,Андижон,1703,Андижон т.,1703203,540,2401
1703203m41,Миробод,Андижон,1703,Андижон т.,1703203,326,1835
1703203m42,Мустақиллик,Андижон,1703,Андижон т.,1703203,1010,5847
1703203m43,Навруз,Андижон,1703,Андижон т.,1703203,401,2169
1703203m44,Найманобод,Андижон,1703,Андижон т.,1703203,517,2734
